Store Name,City,Zip Code,County,Category Name,Vendor Name,Item Description
HY-VEE FOOD STORE #3 / CEDAR RAPIDS,CEDAR RAPIDS,52404,LINN,AMERICAN GRAPE BRANDIES,HEAVEN HILL BRANDS,CHRISTIAN BROS GRAND RESERVE VSOP
HY-VEE FOOD STORE / CHARITON,CHARITON,50049,LUCAS,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM
HY-VEE FOOD STORE #4 / CEDAR RAPIDS,BURLINGTON,52402,DES MOINES,CANADIAN WHISKIES,"CONSTELLATION WINE COMPANY, INC.",BLACK VELVET
HY-VEE FOOD STORE #1 / BURLINGTON,MASON CITY,52601,CERRO GORDO,IMPORTED VODKA - MISC,DIAGEO AMERICAS,CIROC PINEAPPLE
HY-VEE DRUGSTORE / MASON CITY,COUNCIL BLUFFS,50401,POTTAWATTAMIE,SPICED RUM,CAMPARI(SKYY),CAPTAIN MORGAN SPICED BARREL
SAM'S CLUB 6472 / COUNCIL BLUFFS,DES MOINES,51501,POLK,BLENDED WHISKIES,PERNOD RICARD USA/AUSTIN NICHOLS,YUKON JACK JACAPPLE
DAHL'S / MERLE HAY,AMES,50310,STORY,VODKA 80 PROOF,WILSON DANIELS LTD.,BURNETT'S VODKA 80 PRF
DAHL'S FOODS / AMES,WATERLOO,50010,BLACK HAWK,IMPORTED VODKAS,LUXCO-ST LOUIS,SKYY VODKA
HY-VEE FOOD STORE #3 / WATERLOO,OTTUMWA,50702,WAPELLO,VODKA FLAVORED,MHW LTD,BEAM'S 8 STAR BL WHISKEY
QUIK SHOP FOODS / FOUR M IN,CLINTON,52501,CLINTON,STRAIGHT RYE WHISKIES,"BACARDI U.S.A., INC.",ABSOLUT SWEDISH VODKA 80 PRF
SMOKIN' JOE'S #11 TOBACCO AND LIQUOR,GRIMES,52732,HENRY,TEQUILA,PROXIMO,CIROC PEACH
SPIRITS / GRIMES,MOUNT PLEASANT,50111,CLAYTON,AMERICAN AMARETTO,E AND J GALLO WINERY,SMIRNOFF VANILLA VODKA
HY-VEE  #2 / AMES,STRAWBERRY POINT,52641,SCOTT,CREAM LIQUEURS,"SAZERAC CO., INC.",ADMIRAL NELSON SPICED RUM
CYCLONE LIQUORS,BETTENDORF,52076,WARREN,FLAVORED RUM,LAIRD AND COMPANY,TEMPLETON RYE
HY-VEE FOOD STORE / MOUNT PLEASANT,INDIANOLA,52722,CARROLL,IMPORTED SCHNAPPS,MCCORMICK DISTILLING COMPANY,JUAREZ TEQUILA GOLD
